author,field
rkKMIwMAAAAJ,Computer Science
TgGwQNIAAAAJ,Computer Science
2PgLUpcAAAAJ,Agricultural and Biological Sciences
nTNXHiQAAAAJ,Agricultural and Biological Sciences
T8rNctUAAAAJ,Economics Econometrics and Finance
Hp_oX8gAAAAJ,Mechanical Engineering
tEi4TUQAAAAJ,Biochemistry Genetics and Molecular Biology
temOz2oAAAAJ,Health Professions
HWZAg3kAAAAJ,Physics and Astronomy
4P0zlyMAAAAJ,Electrical and Electronic Engineering
lN8KAigAAAAJ,Electrical and Electronic Engineering
pdqs_asAAAAJ,Computer Science
Yv3jCQkAAAAJ,Business Management and Accounting
f_JXWlMAAAAJ,Medicine
gjy2X4IAAAAJ,Medicine
k5kdH_oAAAAJ,Computer Science
1Hq20YIAAAAJ,Earth and Planetary Sciences
SWgD6vUAAAAJ,Agricultural and Biological Sciences
d4b7yiAAAAAJ,Agricultural and Biological Sciences
G8UvRUoAAAAJ,Materials Science
NQklxTsAAAAJ,Agricultural and Biological Sciences
s1EaPWMAAAAJ,Materials Science
hROyBlQAAAAJ,Agricultural and Biological Sciences
1iXhFlAAAAAJ,Social Sciences
-rcrP3gAAAAJ,Social Sciences
s9jzOw0AAAAJ,Social Sciences
RwTJeYMAAAAJ,Business Management and Accounting
yRt1qhgAAAAJ,Social Sciences
R1xiGW0AAAAJ,Building and Construction
kLu60RkAAAAJ,Computer Science
qb82-CIAAAAJ,Biochemistry Genetics and Molecular Biology
zfngGSkAAAAJ,Computer Science
Y4mReV4AAAAJ,Computer Science
Jd2Jp0wAAAAJ,Computer Science
WMA2-iQAAAAJ,Computer Science
lXpBbiEAAAAJ,Computer Science
h55SR68AAAAJ,Computer Science
laljImoAAAAJ,Chemical Engineering
zfW6nsMAAAAJ,Chemical Engineering
tFOqbZsAAAAJ,Biochemistry Genetics and Molecular Biology
bja9Op4AAAAJ,Chemical Engineering
g5hVhuQAAAAJ,Chemical Engineering
Cm5UegUAAAAJ,Biochemistry Genetics and Molecular Biology
-6reht8AAAAJ,Psychology
cPCHycsAAAAJ,Social Sciences
aFNUxNIAAAAJ,Psychology
TxjxrnUAAAAJ,Psychology
AD0WdbgAAAAJ,Social Sciences
6-C8WyIAAAAJ,Social Sciences
INTiP24AAAAJ,Social Sciences
AELT_0kAAAAJ,Social Sciences
n07X8FoAAAAJ,Agricultural and Biological Sciences
