author,field
1,other
2,other
3,bio
4,other
5,comp
6,comp
7,comp_bio
8,other
9,comp
10,other
12,bio
13,bio
17,other
18,bio
19,bio
22,other
24,other
25,comp
26,other
27,other
28,comp
29,other
31,comp
32,other
35,other
37,bio
39,bio
40,other
41,other
43,other
5217,comp
9432,other
11754,other
14117,other
16334,comp_bio
18078,comp
24261,comp
24534,comp
25139,other
26529,other
27765,comp
32251,other
35977,other
36034,other
36119,other
38418,other
38449,other
39183,other
39261,other
41550,comp
42896,other
43294,other
45919,other
46222,other
47689,other
49008,bio
50758,comp
53337,bio
57054,other
63486,comp
65826,bio
65985,other
67165,other
71198,bio
73860,comp
77139,bio
77372,comp
77395,other
78068,other
78919,bio
79381,bio
81751,comp
85711,other
87605,bio
87742,other
89014,bio
89853,other
90973,other
92443,other
95063,bio
95853,other
97318,other
99048,other
100217,comp
101610,bio
101881,other
101987,other
103280,other
106080,comp
106433,other
106744,other
108513,comp
108848,other
109198,other
110328,bio
110766,comp
111024,bio
111440,other
112821,other
114343,comp
114572,other
114913,other
115318,other
117026,comp
120614,comp
121101,other
121510,other
121607,other
123160,other
125495,bio
127437,other
127919,other
129550,other
130848,soc
133131,other
133814,other
134253,other
134999,other
137346,comp
137409,other
137573,other
137939,bio
138273,comp
140535,other
147811,other
150457,bio
151485,other
151655,bio
152465,comp
154987,other
157156,other
157626,other
158043,other
158877,other
159533,other
159648,other
161313,bio
162803,bio
163659,comp
165796,bio
166780,other
168305,other
168639,other
168680,other
169719,other
170817,other
171673,other
171681,soc
173215,bio
173574,other
176031,bio
177446,comp
178044,other
178626,other
179501,comp
181098,bio
181486,other
183530,other
184385,bio
186289,other
186434,bio
186894,comp_bio
187718,other
187946,comp
188762,bio
189431,bio
189970,comp
192379,other
192540,bio
193525,other
193959,bio
195505,bio
196901,other
197050,comp
197513,other
197689,other
199636,bio
200477,other
200653,comp
200798,other
201557,other
202531,other
202692,other
203963,other
204118,other
206473,other
210446,other
211755,bio
213836,other
215105,other
215389,bio
215634,bio
216741,other
219876,bio
220438,other
221395,other
222588,other
224446,bio
226137,other
226800,other
226898,other
229077,other
229423,other
230999,other
231564,other
232715,comp
235992,comp
237073,other
240040,comp
240537,bio
242540,comp
243435,bio
246692,other
248309,other
248893,other
250055,other
250995,other
254238,other
254744,bio
254958,bio
255158,other
255234,bio
256207,comp
259306,other
259477,other
262653,comp
262849,bio
265133,other
265985,other
265989,comp
266045,other
266464,bio
267308,comp
269196,comp
270285,other
270545,other
271507,comp
272602,comp
272761,bio
274938,bio
276061,other
277643,bio
279175,other
279298,other
282766,other
284370,other
287477,other
289321,bio
291890,other
294566,other
294926,other
295659,other
295877,comp_bio
297237,comp
297277,comp_bio
299404,other
299549,other
301153,other
302203,bio
303369,comp
305703,other
305858,other
306541,other
307027,other
307122,other
307523,other
309355,other
310662,other
315439,bio
316416,other
317921,other
318959,other
322718,other
327830,comp
329829,other
330175,bio
330262,other
332954,other
336056,other
336293,other
336557,bio
337356,other
337678,bio
338608,other
339773,other
342064,other
343018,comp
346091,comp
349284,bio
352677,comp
354438,comp
354792,other
356530,other
356946,comp
357387,other
359497,other
359776,other
360405,comp
361313,bio
361361,comp
361471,comp
362013,other
363295,other
364032,other
364568,other
365566,other
366451,comp_bio
368019,other
368264,other
369009,bio
370230,comp_bio
371045,other
371251,bio
371852,comp
375166,comp
380628,comp_bio
381846,other
382192,comp
382831,comp
383372,other
383805,bio
383828,other
385009,bio
386180,comp
388139,other
389086,bio
397185,other
401005,other
401094,other
402089,comp
