,source_id,target_id,field,university_id,Citations_all,h-index_all,country,gender
0,rkKMIwMAAAAJ,ZjDFiYsAAAAJ,Computer Science,4.06582277806521e+18,1034.0,18.0,US,male
1,rkKMIwMAAAAJ,rcW8mi0AAAAJ,Computer Science,4.06582277806521e+18,1034.0,18.0,US,male
2,rkKMIwMAAAAJ,n07X8FoAAAAJ,Computer Science,4.06582277806521e+18,1034.0,18.0,US,male
3,TgGwQNIAAAAJ,apQN670AAAAJ,Computer Science,1.6161526096496271e+19,2151.0,23.0,US,male
4,TgGwQNIAAAAJ,czMNSa8AAAAJ,Computer Science,1.6161526096496271e+19,2151.0,23.0,US,male
5,TgGwQNIAAAAJ,ANbNbjYAAAAJ,Computer Science,1.6161526096496271e+19,2151.0,23.0,US,male
6,TgGwQNIAAAAJ,G40_W5YAAAAJ,Computer Science,1.6161526096496271e+19,2151.0,23.0,US,male
7,2PgLUpcAAAAJ,nTNXHiQAAAAJ,Agricultural and Biological Sciences,9.829198446306615e+18,193.0,7.0,RU,male
8,nTNXHiQAAAAJ,2PgLUpcAAAAJ,Agricultural and Biological Sciences,,,,,
9,T8rNctUAAAAJ,TiMU6goAAAAJ,Economics Econometrics and Finance,2.4535728536101683e+18,449.0,8.0,US,male
10,Hp_oX8gAAAAJ,J01jCZMAAAAJ,Mechanical Engineering,9.160472502618886e+18,346.0,13.0,IN,male
11,tEi4TUQAAAAJ,YVGApnUAAAAJ,Biochemistry Genetics and Molecular Biology,,,,,
12,temOz2oAAAAJ,w36OMOwAAAAJ,Health Professions,1.6701718376422726e+19,1414.0,20.0,IN,male
13,HWZAg3kAAAAJ,yjyylm8AAAAJ,Physics and Astronomy,,,,,
14,4P0zlyMAAAAJ,3A_h6-sAAAAJ,Electrical and Electronic Engineering,,,,,
15,4P0zlyMAAAAJ,LD8BwmAAAAAJ,Electrical and Electronic Engineering,,,,,
16,4P0zlyMAAAAJ,OkD0HC0AAAAJ,Electrical and Electronic Engineering,,,,,
17,4P0zlyMAAAAJ,HAiWj9AAAAAJ,Electrical and Electronic Engineering,,,,,
18,4P0zlyMAAAAJ,lN8KAigAAAAJ,Electrical and Electronic Engineering,,,,,
19,4P0zlyMAAAAJ,Wx4ptTIAAAAJ,Electrical and Electronic Engineering,,,,,
20,lN8KAigAAAAJ,4P0zlyMAAAAJ,Electrical and Electronic Engineering,,,,,
21,lN8KAigAAAAJ,Kv1hYTwAAAAJ,Electrical and Electronic Engineering,,,,,
22,lN8KAigAAAAJ,q1mfIKMAAAAJ,Electrical and Electronic Engineering,,,,,
23,pdqs_asAAAAJ,mAcmGtcAAAAJ,Computer Science,1.731562839901681e+19,2110.0,16.0,IT,male
24,pdqs_asAAAAJ,rgJfjgwAAAAJ,Computer Science,1.731562839901681e+19,2110.0,16.0,IT,male
25,Yv3jCQkAAAAJ,7ubqAOIAAAAJ,Business Management and Accounting,,,,,
26,Yv3jCQkAAAAJ,wYIzhN8AAAAJ,Business Management and Accounting,,,,,
27,f_JXWlMAAAAJ,gjy2X4IAAAAJ,Medicine,2.182971719771223e+18,467.0,7.0,TR,male
28,gjy2X4IAAAAJ,f_JXWlMAAAAJ,Medicine,,,,,
29,k5kdH_oAAAAJ,th7m0eAAAAAJ,Computer Science,7.632695961104714e+18,4781.0,37.0,US,male
30,k5kdH_oAAAAJ,vdegcWUAAAAJ,Computer Science,7.632695961104714e+18,4781.0,37.0,US,male
31,k5kdH_oAAAAJ,RzIjQ64AAAAJ,Computer Science,7.632695961104714e+18,4781.0,37.0,US,male
32,k5kdH_oAAAAJ,Cr0_dMoAAAAJ,Computer Science,7.632695961104714e+18,4781.0,37.0,US,male
33,k5kdH_oAAAAJ,GwNIARcAAAAJ,Computer Science,7.632695961104714e+18,4781.0,37.0,US,male
34,1Hq20YIAAAAJ,poN-Aa8AAAAJ,Earth and Planetary Sciences,,,,,
35,1Hq20YIAAAAJ,1ksNBpsAAAAJ,Earth and Planetary Sciences,,,,,
36,SWgD6vUAAAAJ,mOUKztYAAAAJ,Agricultural and Biological Sciences,,,,,
37,SWgD6vUAAAAJ,ioGHA6EAAAAJ,Agricultural and Biological Sciences,,,,,
38,d4b7yiAAAAAJ,38PlhkcAAAAJ,Agricultural and Biological Sciences,8.589151194720923e+18,5212.0,22.0,US,female
39,G8UvRUoAAAAJ,ndU6iOgAAAAJ,Materials Science,,,,,
40,G8UvRUoAAAAJ,eaay_HwAAAAJ,Materials Science,,,,,
41,G8UvRUoAAAAJ,aUyYqMMAAAAJ,Materials Science,,,,,
42,G8UvRUoAAAAJ,cue0EzIAAAAJ,Materials Science,,,,,
43,G8UvRUoAAAAJ,-SmjQhAAAAAJ,Materials Science,,,,,
44,G8UvRUoAAAAJ,WOizM1MAAAAJ,Materials Science,,,,,
45,G8UvRUoAAAAJ,ISfYAZIAAAAJ,Materials Science,,,,,
46,NQklxTsAAAAJ,gAAM0ecAAAAJ,Agricultural and Biological Sciences,,,,,
47,NQklxTsAAAAJ,5_2cPNEAAAAJ,Agricultural and Biological Sciences,,,,,
48,NQklxTsAAAAJ,c4OlbnYAAAAJ,Agricultural and Biological Sciences,,,,,
49,s1EaPWMAAAAJ,Il4YCsQAAAAJ,Materials Science,,,,,
50,s1EaPWMAAAAJ,e8VJ6fEAAAAJ,Materials Science,,,,,
